                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 1.2825,                 0.8466,                 1.7253,                0.93079,                0.96057,                0.98416,                0.70185,                 1.0499,                0.56007,                 1.6041,              0.0014694,              0.0014694,              0.0014694
                    137,                 1.3275,                0.86751,                 1.7613,                0.95529,                0.97125,                0.98332,                0.70054,                 1.1306,                0.55371,                 1.6867,              0.0014654,              0.0014654,              0.0014654
                    138,                 1.3208,                0.87821,                 1.7641,                0.95948,                0.92266,                 0.9615,                0.67888,                 1.1337,                0.61918,                 1.6439,              0.0014614,              0.0014614,              0.0014614
                    139,                 1.2549,                0.83665,                 1.7186,                0.93099,                0.96361,                0.97347,                0.69429,                 1.0789,                0.60383,                 1.5922,              0.0014575,              0.0014575,              0.0014575
                    140,                 1.3236,                0.83245,                 1.7542,                0.94849,                0.95648,                0.97329,                0.69445,                 1.0641,                0.60259,                 1.6115,              0.0014535,              0.0014535,              0.0014535
                    141,                 1.4206,                0.91975,                 1.8674,                0.95757,                0.94156,                0.97916,                0.67078,                 1.1913,                0.57858,                 1.6929,              0.0014496,              0.0014496,              0.0014496
                    142,                 1.2892,                0.81509,                 1.7596,                0.94119,                0.93528,                0.97967,                0.70173,                 1.0787,                0.55756,                 1.6272,              0.0014456,              0.0014456,              0.0014456
                    143,                 1.2555,                0.80713,                 1.7111,                0.96459,                0.93506,                0.98387,                0.70289,                 1.0083,                0.53386,                 1.5934,              0.0014416,              0.0014416,              0.0014416
                    144,                 1.3679,                0.81927,                 1.7661,                0.94945,                0.97568,                0.99002,                 0.6982,                 1.1024,                 0.5627,                 1.6466,              0.0014377,              0.0014377,              0.0014377
                    145,                 1.2914,                0.81502,                 1.7264,                0.96659,                0.93923,                0.98366,                0.70162,                 1.0581,                0.56473,                 1.5885,              0.0014337,              0.0014337,              0.0014337
                    146,                 1.3259,                 0.8532,                 1.7692,                0.96601,                0.95455,                0.98499,                0.69472,                 1.1472,                0.55634,                 1.6404,              0.0014298,              0.0014298,              0.0014298
                    147,                 1.3447,                0.86424,                 1.7805,                0.96416,                0.94805,                0.96311,                0.67878,                 1.0677,                0.55308,                 1.6047,              0.0014258,              0.0014258,              0.0014258
                    148,                 1.3238,                0.87691,                 1.7513,                0.94154,                0.94126,                0.93282,                0.67044,                 1.0908,                0.58062,                 1.5934,              0.0014218,              0.0014218,              0.0014218
                    149,                 1.3012,                0.82246,                 1.7112,                0.94662,                0.92208,                0.96563,                0.70274,                  1.032,                0.57597,                 1.5678,              0.0014179,              0.0014179,              0.0014179
                    150,                 1.2803,                0.83688,                 1.7216,                0.94739,                 0.9355,                0.98117,                0.69876,                 1.1092,                0.54681,                 1.6277,              0.0014139,              0.0014139,              0.0014139
